id,name,popularity,duration_ms,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1QbYZrAIlZIEKqNHy7c8Ep,La Carreta - Remasterizado,0,165013,['Ignacio Corsini'],['5LiOoJbxVSAMkBS2fUm3X2'],25-04-1926,0.555,0.141,2.0,-21.115,1.0,0.112,0.996,0.895,0.185,0.805,83.554,4
1Qf4LCfTKUeOIBc5ijwo3c,Adorable Noviecita - Remasterizado,0,127280,['Ignacio Corsini'],['5LiOoJbxVSAMkBS2fUm3X2'],14-05-1926,0.415,0.353,7.0,-20.481,1.0,0.131,0.989,0.0289,0.879,0.667,121.591,3
1QjXzjz5WcQcXoevEWtB71,Kapitel 24 - Der Page und die Herzogin,2,139403,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.699,0.177,11.0,-21.079,1.0,0.95,0.381,0.0,0.307,0.346,84.355,3
1Qw781ydHS63da4oj1tFTT,Kapitel 340 - Der Page und die Herzogin,1,138515,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.715,0.119,8.0,-21.19,0.0,0.93,0.395,0.0,0.313,0.241,53.038,4
1R38wtHuqSCJQNyWS7BYOW,Kapitel 197 - Der Page und die Herzogin,1,122215,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.722,0.101,11.0,-23.048,0.0,0.927,0.406,0.0,0.399,0.291,125.232,4
1RDuubAXEY109Zqx8MiIkB,Kapitel 85 - Der Page und die Herzogin,1,145020,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.68,0.156,0.0,-21.349,1.0,0.948,0.506,0.0,0.198,0.294,98.651,4
1T9xoIYNuqbp8Qxhk71F4X,"Blue, Turnin' Grey Over You",2,262653,['Fats Waller'],['0DYWCXTkNqGFZIf67SrWEa'],1926,0.787,0.3,0.0,-16.418,1.0,0.0466,0.945,0.855,0.0866,0.762,90.081,4
1Tgy37TEdQ8cD9txCOP7uX,Tout Doucement À Pas De Loup,0,201067,['Félix Mayol'],['7DIlOK9L8d0IQ7Xk8aJxDW'],1926,0.683,0.241,7.0,-14.603,1.0,0.375,0.957,0.00423,0.214,0.727,142.683,4
1TtOYhU43vrgHizZr172aN,Kapitel 177 - Der Page und die Herzogin,1,149617,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.724,0.172,8.0,-20.384,0.0,0.931,0.425,0.0,0.134,0.266,124.816,4
1UIqgUwdCdnnR2fZZYja2e,Kapitel 116 - Der Page und die Herzogin,1,113621,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.772,0.144,11.0,-22.938,0.0,0.948,0.352,0.0,0.42,0.322,81.4,4
